society,property_type,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,pooja room,store room,study room,others,furniture_labels,luxury_score,latitude,longitude
dlf the ultima,flat,sector 81,2.12,10080.0,3,3,3+,8.0,relatively new,1650.0,1,1,0,1,1,1,35,28.3867,76.9485
suncity vatsal valley,flat,gwal pahari,1.28,9552.0,3,3,3,2.0,relatively new,1489.0,0,0,0,0,0,2,35,28.4484,77.021
conscient elevate,flat,sector 59,6.75,19882.0,4,4,2,10.0,new property,2567.0,1,0,0,0,0,0,23,28.4051,77.1097
paras dews,flat,sector 106,1.14,6000.0,3,4,3,10.0,relatively new,1305.0,1,0,0,1,0,0,35,28.5007,77.0003
vatika the seven lamps,flat,sector 82,1.28,6819.0,3,3,3,8.0,relatively new,1800.0,0,0,0,1,0,2,127,28.3935,76.96
supertech araville,flat,sector 79,1.35,9000.0,2,2,3,8.0,new property,1350.0,0,0,0,1,1,2,66,28.3624,76.9787
pareena coban residences,flat,sector 99a,1.56,7811.0,3,5,3,4.0,new property,1807.0,1,0,0,0,1,0,35,28.4561,76.9542
dlf new town heights,flat,sector 90,1.25,8638.0,3,4,3+,8.0,old property,1608.0,1,0,0,0,0,1,23,28.4085,76.9369
independent,house,sector 57,3.5,21605.0,4,4,3+,3.0,old property,1620.0,0,0,1,0,0,2,52,28.4232,77.0752
housing board colony,house,sector 28,5.5,30556.0,4,3,3,2.0,old property,1799.97,0,1,0,0,1,2,22,28.4728,77.0865
ss the leaf,flat,sector 85,1.08,6585.0,2,2,3,6.0,new property,1200.0,1,1,1,1,0,2,119,28.4042,76.9513
ild greens,flat,sector 37c,0.9,5614.0,3,3,3,6.0,under construction,1500.0,0,0,0,0,0,0,44,28.4515,76.9882
adani brahma samsara vilasa,flat,sector 63,3.4,10000.0,3,3,3+,10.0,new property,3077.0,0,0,0,0,0,0,77,28.3971,77.0867
emaar palm gardens,flat,sector 83,1.6,8648.0,3,3,3+,6.0,relatively new,1674.0,1,1,1,1,0,2,129,28.3986,76.9647
godrej,flat,sector 33,0.95,6859.0,2,2,3+,6.0,under construction,1253.0,0,0,0,0,0,0,0,28.442,77.0207
signature global city 63a,flat,sector 63a,1.65,15263.0,2,2,2,2.0,relatively new,978.0,0,0,0,0,0,0,0,28.3923,77.0888
puri diplomatic greens,flat,sector 111,3.7,12542.0,4,5,3+,12.0,relatively new,2650.0,1,0,0,0,0,2,129,28.5238,77.032
bestech park view ananda,flat,sector 81,1.15,6927.0,3,2,3+,12.0,relatively new,1352.0,0,0,0,0,0,0,72,28.3867,76.9485
signature global park 4,flat,sector 36,0.82,7585.0,3,2,3,2.0,new property,1201.0,0,0,0,0,0,0,16,28.416,76.9914
dlf regency park,flat,sector 28,1.91,16608.0,2,2,2,2.0,new property,1278.0,0,0,0,0,0,1,81,28.4728,77.0865
ansal sushant lok plots,house,sector 43,7.0,25926.0,5,5,3+,3.0,relatively new,2700.0,1,1,0,1,0,2,27,28.4629,77.0772
deepak minda,flat,manesar,1.25,4715.0,4,4,3+,4.0,moderately new,2946.0,0,0,0,0,0,2,35,28.3515,76.9428
sare crescent parc,flat,sector 92,0.49,4909.0,2,2,2,2.0,relatively new,1109.0,0,0,0,0,0,0,74,28.4079,76.9153
godrej aria,flat,sector 79,0.96,13296.0,2,2,3,4.0,relatively new,1012.0,0,0,0,0,0,0,35,28.3624,76.9787
ireo skyon,flat,sector 60,3.0,12484.0,3,3,3,6.0,relatively new,2400.0,1,0,0,0,0,2,136,28.4003,77.0975
tulip violet,flat,sector 69,1.4,8920.0,3,3,1,12.0,relatively new,1419.0,0,1,0,0,0,0,73,28.3966,77.0341
ireo victory valley,flat,sector 67,2.95,12235.0,3,3,3,4.0,relatively new,2150.0,1,0,0,0,0,2,136,28.3859,77.0608
zara aavaas,flat,sector 104,0.26,7807.0,1,1,2,4.0,relatively new,301.0,0,0,0,0,0,0,67,28.4788,76.996
m3m woodshire,flat,sector 107,1.3,10815.0,3,3,3,12.0,relatively new,1547.0,0,1,0,0,0,0,74,28.5052,76.9729
hero homes,flat,sector 104,1.35,9565.0,3,2,2,8.0,new property,1094.0,0,0,0,0,0,0,35,28.4788,76.996
pyramid urban homes 2,flat,sector 86,0.43,8582.0,2,2,1,2.0,new property,557.0,0,0,0,0,1,0,58,28.3986,76.9384
bptp terra,flat,sector 37d,1.72,7850.0,3,3,3+,6.0,relatively new,1983.0,1,0,0,0,0,0,23,28.4478,76.9703
dlf park place,flat,sector 54,4.85,30180.0,3,4,3+,6.0,moderately new,1607.02,1,0,0,0,0,1,129,28.4348,77.1089
vasant appartments,flat,sector 14,1.7,7391.0,5,5,2,2.0,old property,2556.0,0,1,1,1,0,1,62,28.4711,77.0454
sare homes,flat,sector 92,0.82,5384.0,3,3,3+,12.0,relatively new,1221.18,0,0,0,0,0,0,98,28.4079,76.9153
godrej air,flat,sector 85,1.8,13136.0,3,3,3,8.0,under construction,141.0,0,0,0,0,0,0,37,28.4042,76.9513
dlf regal gardens,flat,sector 90,1.8,7223.0,4,4,3+,8.0,moderately new,2005.0,0,0,0,0,0,0,30,28.4085,76.9369
vipul world,flat,sector 48,1.38,9482.0,3,3,1,2.0,relatively new,1611.0,0,0,0,0,0,0,45,28.4177,77.0359
sanskriti apartments,flat,sector 43,2.5,13513.0,3,2,3,6.0,old property,1674.0,0,0,0,1,0,0,0,28.4629,77.0772
orchid island,flat,sector 51,0.71,7891.0,2,2,1,6.0,relatively new,1007.0,0,0,0,0,0,0,23,28.432,77.0686
tulip violet,flat,sector 69,1.52,9632.0,3,3,2,10.0,relatively new,1428.0,0,1,0,0,0,2,127,28.3966,77.0341
signature the roselia,flat,sector 95,0.48,7164.0,2,2,2,8.0,relatively new,744.0,0,0,0,0,0,0,16,28.4172,76.9081
independent,house,sector 82,7.5,23148.0,5,5,3+,2.0,relatively new,3240.0,1,1,0,0,0,2,105,28.3935,76.96
bestech altura,flat,sector 79,1.72,8000.0,3,4,3+,10.0,relatively new,1695.0,1,0,0,0,0,0,136,28.3624,76.9787
supertech araville,flat,sector 79,0.95,6209.0,2,2,3,10.0,new property,1385.0,0,0,0,1,0,0,35,28.3624,76.9787
mapsko mount ville,flat,sector 79,1.2,8053.0,3,3,3+,6.0,relatively new,1154.0,0,0,0,0,0,2,97,28.3624,76.9787
dlf regal gardens,flat,sector 90,1.19,5505.0,3,3,2,10.0,relatively new,1562.0,0,0,0,0,1,0,66,28.4085,76.9369
pyramid urban,flat,sector 67a,0.56,7928.0,2,2,2,6.0,relatively new,778.0,0,0,0,0,1,0,35,28.396,77.0372
bhim garh kheri,house,sector 3,1.5,7576.0,7,2,0,1.0,relatively new,1980.0,0,0,0,0,0,0,0,28.4909,77.0176
chintamani,flat,sector 103,1.57,8509.0,3,3,3,6.0,relatively new,1845.0,0,0,0,0,0,0,0,28.4949,76.9845
valley view estate,flat,gwal pahari,0.38,6089.0,1,1,1,6.0,moderately new,565.0,0,0,0,0,0,0,28,28.4484,77.021
m3m skywalk,flat,sector 74,1.55,13790.0,2,2,3+,4.0,relatively new,1300.0,0,0,0,0,1,0,115,28.4158,77.0118
shri ram apartments,flat,sector 4,0.46,5111.0,2,2,1,6.0,relatively new,1000.0,0,0,0,0,0,2,62,28.4738,77.0107
m3m skywalk,flat,sector 74,1.78,12500.0,2,2,3+,12.0,relatively new,1582.0,0,0,0,0,0,0,63,28.4158,77.0118
zara aavaas,flat,sector 104,0.22,7302.0,1,2,2,2.0,new property,335.0,0,0,0,0,0,0,52,28.4788,76.996
sobha smriti apartments,flat,sector 56,0.5,8333.0,1,1,2,6.0,relatively new,667.0,0,0,0,0,0,0,0,28.4245,77.0991
adani m2k oyster grande,flat,sector 102,1.95,7561.0,3,4,3,2.0,relatively new,2334.0,1,0,0,1,0,2,66,28.475,76.9715
sare homes,flat,sector 92,0.95,4871.0,4,3,3,8.0,new property,1765.0,0,0,0,0,0,0,0,28.4079,76.9153
