society,property_type,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,pooja room,store room,study room,others,furniture_labels,luxury_score,latitude,longitude
emaar mgf emerald floors premier,flat,sector 65,2.5,15151.0,3,3,3,2.0,relatively new,1493.0,1,0,0,1,0,0,15,28.403,77.069
m3m skywalk,flat,sector 74,1.57,11000.0,2,2,3+,8.0,relatively new,1300.0,0,0,0,0,1,0,115,28.4158,77.0118
ats tourmaline,flat,sector 109,2.1,8123.0,3,4,3+,2.0,relatively new,2100.0,1,0,0,0,0,2,127,28.5073,77.0089
tarc maceo,flat,sector 91,1.4,7407.0,3,3,3+,10.0,relatively new,1700.0,0,0,0,0,0,0,59,28.4014,76.9225
vipul tatvam villa,house,sector 48,8.4,21000.0,4,5,3+,2.0,moderately new,4000.0,1,1,0,1,0,2,35,28.4177,77.0359
dlf new town heights,flat,sector 86,1.55,6578.0,4,4,3+,12.0,moderately new,2038.0,1,1,0,0,0,2,98,28.3986,76.9384
signature global solera,flat,sector 107,0.27,5521.0,2,2,2,2.0,relatively new,543.0,0,0,0,0,0,0,37,28.5052,76.9729
pareena laxmi apartments,flat,sector 99a,0.3,5424.0,2,1,2,10.0,new property,511.0,0,0,0,0,0,0,52,28.4561,76.9542
m3m the marina,flat,sector 68,1.0,12500.0,2,2,3,4.0,relatively new,889.0,0,0,0,0,0,0,23,28.3853,77.0484
international city by sobha phase 2,house,sector 109,5.65,10463.0,4,4,3+,2.0,new property,5400.0,1,0,0,0,1,2,35,28.5073,77.0089
independent,house,sector 28,11.25,34722.0,9,9,3+,2.0,moderately new,3240.0,1,1,1,0,0,2,105,28.4728,77.0865
indiabulls enigma,flat,sector 110,3.4,10000.0,4,5,3,10.0,relatively new,3077.0,1,0,1,0,0,0,68,28.5145,77.0197
saan verdante,flat,sector 95,2.0,10178.0,3,4,3+,12.0,new property,1964.0,1,0,0,0,0,0,35,28.4172,76.9081
dlf regal gardens,flat,sector 90,1.3,7150.0,3,3,3+,12.0,relatively new,1700.0,0,0,0,0,0,0,112,28.4085,76.9369
the close north,flat,sector 50,2.7,10364.0,3,3,3+,2.0,moderately new,2400.0,1,0,0,0,0,0,136,28.4178,77.0628
raheja vanya,flat,sector 99a,0.85,6789.0,2,2,2,8.0,new property,1133.0,0,0,0,0,0,0,30,28.4561,76.9542
experion the heartsong,flat,sector 108,0.97,9238.0,2,2,3,4.0,relatively new,1167.0,1,0,0,0,0,0,127,28.5134,76.983
independent,house,sector 12,1.35,12222.0,2,5,1,3.0,old property,2052.0,0,0,0,0,0,0,22,28.4723,77.032
ss the leaf,flat,sector 85,1.05,6402.0,2,2,3,6.0,relatively new,1484.0,0,0,0,0,0,0,35,28.4042,76.9513
independent,house,sector 9,0.22,7407.0,2,2,2,1.0,relatively new,37.0,0,0,0,0,0,0,0,28.4603,77.0
ss aaron ville,house,sector 49,6.75,15000.0,5,4,2,2.0,new property,4500.0,0,0,0,0,1,0,35,28.4121,77.048
emaar mgf emerald floors premier,flat,sector 65,2.8,16969.0,3,3,2,2.0,relatively new,1650.07,1,0,0,0,0,0,83,28.403,77.069
dlf the primus,flat,sector 82a,1.85,10176.0,3,3,3,12.0,moderately new,1677.0,0,0,0,0,1,0,30,28.3858,76.9686
godrej summit,flat,sector 104,0.82,9854.0,2,2,3,12.0,relatively new,86.0,0,0,0,1,0,0,91,28.4788,76.996
independent,house,sector 3,1.5,10288.0,3,3,0,2.0,old property,210.0,0,0,0,0,0,0,0,28.4909,77.0176
pyramid urban homes 2,flat,sector 86,0.5,8319.0,2,2,1,2.0,relatively new,668.0,0,0,0,0,0,0,21,28.3986,76.9384
signature global solera,flat,sector 107,0.28,5828.0,2,2,2,4.0,relatively new,543.0,0,0,0,0,0,0,28,28.5052,76.9729
signature global park 4,flat,sector 36,0.72,6428.0,3,2,3,2.0,relatively new,1244.0,0,0,0,0,0,0,0,28.416,76.9914
ats tourmaline,flat,sector 109,1.4,8000.0,3,3,3+,10.0,relatively new,1466.0,0,0,1,0,0,0,90,28.5073,77.0089
m3m ikonic,flat,sector 68,1.8,9230.0,3,3,3+,8.0,relatively new,1845.0,0,0,0,0,0,2,97,28.3853,77.0484
sare crescent parc,flat,sector 92,0.8,6033.0,3,2,2,8.0,relatively new,1473.0,0,0,0,0,0,0,15,28.4079,76.9153
independent,house,sector 55,1.64,10123.0,3,3,2,4.0,new property,1620.0,1,0,0,1,0,2,54,28.4281,77.11
eros rosewood city,house,sector 49,1.6,3498.0,4,4,3,4.0,new property,540.0,0,0,0,0,0,2,22,28.4121,77.048
hsiidc sidco aravali,flat,manesar,0.86,3323.0,3,3,3+,2.0,moderately new,1900.0,1,0,0,0,0,0,67,28.3515,76.9428
kendriya vihar,flat,sector 56,0.55,9016.0,1,2,1,6.0,old property,678.0,0,0,0,0,0,0,51,28.4245,77.0991
tulip ivory,flat,sector 70,2.0,8333.0,4,5,3+,2.0,relatively new,2172.0,1,0,0,0,0,2,35,28.3968,77.0233
landmark the residency,flat,sector 103,0.9,6666.0,2,2,2,2.0,relatively new,1222.0,0,0,0,0,0,0,35,28.4949,76.9845
pareena coban residences,flat,sector 99a,1.32,6609.0,3,5,3,2.0,new property,1737.0,1,0,0,0,0,0,66,28.4561,76.9542
dlf regal gardens,flat,sector 90,1.75,7900.0,4,4,3+,4.0,relatively new,2005.0,0,0,0,0,1,0,6,28.4085,76.9369
shree vardhman flora,flat,sector 90,0.9,4615.0,3,4,3,8.0,relatively new,1765.0,1,0,0,0,0,0,127,28.4085,76.9369
"new colony, gurgaon",flat,sector 7,0.8,8100.0,3,2,1,2.0,relatively new,1100.0,0,0,0,0,0,2,60,28.4644,77.0143
emaar mgf emerald floors premier,flat,sector 65,2.79,14126.0,4,4,3+,2.0,relatively new,2194.0,1,0,0,1,0,1,136,28.403,77.069
central park 2 bellevue,flat,sector 48,5.0,11627.0,3,4,3,4.0,moderately new,4778.0,0,0,0,0,0,0,60,28.4177,77.0359
dlf the belaire,flat,sector 54,10.0,24557.0,4,5,3+,4.0,moderately new,3000.0,1,0,0,0,0,1,136,28.4348,77.1089
ats triumph,flat,sector 104,2.52,8000.0,4,4,3+,10.0,relatively new,2800.0,1,0,1,0,0,2,127,28.4788,76.996
pareena mi casa,flat,sector 68,1.9,9227.0,3,3,3+,6.0,under construction,2288.0,1,0,0,0,0,0,35,28.3853,77.0484
rof ananda,flat,sector 95,0.32,5827.0,2,2,1,10.0,relatively new,610.0,0,1,0,0,0,2,49,28.4172,76.9081
independent,house,sector 26,18.0,39841.0,5,4,3+,4.0,moderately new,4518.0,1,1,1,1,0,2,83,28.4757,77.1032
umang winter hills,flat,sector 77,1.4,6340.0,3,3,3,4.0,relatively new,1735.0,0,0,0,0,0,0,28,28.3801,76.9845
indiabulls enigma,flat,sector 110,4.0,9851.0,4,4,3,4.0,new property,3350.0,0,0,0,0,0,0,59,28.5145,77.0197
paras dews,flat,sector 106,1.13,6406.0,3,4,3+,6.0,relatively new,1186.0,1,0,0,1,0,0,35,28.5007,77.0003
independent,house,sector 26,5.8,12837.0,4,4,3+,4.0,old property,4518.0,0,0,0,0,0,0,21,28.4757,77.1032
m3m heights,flat,sector 65,2.01,13500.0,2,2,3,6.0,new property,1482.0,0,0,0,1,0,0,35,28.403,77.069
ats triumph,flat,sector 104,2.63,9563.0,4,4,3+,10.0,relatively new,2953.0,1,0,0,0,0,2,123,28.4788,76.996
shree vardhman victoria,flat,sector 70,1.75,8205.0,3,5,3,10.0,new property,1527.0,1,1,0,0,0,0,28,28.3968,77.0233
dlf the skycourt,flat,sector 86,1.6,8294.0,3,3,3+,10.0,relatively new,1548.0,0,0,0,0,1,2,129,28.3986,76.9384
independent,house,sector 31,4.6,32258.0,2,2,2,2.0,relatively new,1426.0,0,0,0,0,0,0,0,28.4528,77.0498
city heights,flat,sector 39,1.75,8750.0,3,4,3,8.0,old property,2222.0,1,0,0,0,0,1,28,28.4434,77.0515
m3m capital,flat,sector 113,2.37,11500.0,4,4,3+,6.0,under construction,2060.0,0,0,0,1,0,0,105,28.5287,77.0233
dlf the ultima,flat,sector 81,2.25,10553.0,3,3,3+,10.0,new property,1929.0,1,0,0,0,0,1,130,28.3867,76.9485
vipul tatvam villa,house,sector 48,18.5,26428.0,4,4,1,1.0,moderately new,7000.0,0,0,0,0,0,0,21,28.4177,77.0359
ats tourmaline,flat,sector 109,1.75,8139.0,3,4,3+,2.0,relatively new,1946.0,1,0,0,0,1,0,43,28.5073,77.0089
tashee capital gateway,flat,sector 111,0.96,6500.0,2,2,1,6.0,relatively new,1338.0,0,0,0,1,0,0,45,28.5238,77.032
independent,house,sector 23,5.65,17706.0,7,7,3+,2.0,moderately new,5000.0,1,1,0,0,0,0,38,28.5121,77.0478
vipul tatvam villa,house,sector 48,6.4,24691.0,3,4,3,2.0,relatively new,2592.04,1,0,1,1,0,2,115,28.4177,77.0359
independent,house,sector 57,6.21,23000.0,6,6,3+,4.0,old property,2700.0,1,1,1,1,0,0,47,28.4232,77.0752
dlf icon,flat,sector 43,5.8,20707.0,4,4,3+,8.0,relatively new,2801.0,0,0,0,0,0,0,0,28.4629,77.0772
la vida by tata housing,flat,sector 113,3.05,15561.0,3,4,3,8.0,relatively new,2150.0,1,0,0,0,0,0,136,28.5287,77.0233
vipul lavanya,flat,sector 81,0.64,5261.0,2,2,3,12.0,relatively new,1361.0,0,0,0,0,0,2,78,28.3867,76.9485
ats tourmaline,flat,sector 109,1.4,8000.0,3,3,3+,12.0,relatively new,1584.0,0,0,0,0,1,0,43,28.5073,77.0089
hsiidc sidco shivalik apartments,flat,manesar,0.85,5102.0,3,2,2,12.0,moderately new,1508.0,0,0,0,0,0,0,0,28.3515,76.9428
emaar mgf palm studios,flat,sector 66,1.45,14795.0,2,2,3,2.0,relatively new,1082.0,0,0,0,0,0,0,72,28.3925,77.0541
m3m capital,flat,sector 113,3.25,14142.0,4,4,3+,4.0,relatively new,2553.0,1,1,0,1,0,0,93,28.5287,77.0233
central park resort belgravia residences,flat,sector 48,6.25,24300.0,3,5,3+,2.0,moderately new,3200.0,1,0,0,0,0,2,35,28.4177,77.0359
bestech park view ananda,flat,sector 81,1.45,8734.0,3,2,3+,10.0,relatively new,1352.0,0,0,0,0,1,0,45,28.3867,76.9485
dlf regal gardens,flat,sector 90,1.7,7223.0,4,4,3+,10.0,moderately new,2005.0,1,0,0,0,0,0,30,28.4085,76.9369
huda housing board colony,house,sector 31,4.6,31506.0,2,4,3+,3.0,old property,1460.04,0,0,0,0,1,0,8,28.4528,77.0498
conscient habitat,flat,sector 99a,0.35,6422.0,2,2,1,6.0,relatively new,606.0,0,0,0,0,0,0,53,28.4561,76.9542
emaar mgf the enclave,flat,sector 66,2.1,12352.0,3,4,2,12.0,relatively new,1800.0,1,0,0,0,0,2,118,28.3925,77.0541
samadhan shri kamal cghs,flat,sector 1,2.01,11426.0,4,4,3+,6.0,moderately new,1956.0,0,0,0,0,0,1,0,28.3663,76.9456
raheja atharva,flat,sector 109,0.79,7931.0,3,2,2,2.0,relatively new,1213.0,0,0,0,0,0,2,36,28.5073,77.0089
signature global solera,flat,sector 107,0.52,8062.0,3,2,2,4.0,relatively new,717.0,0,0,0,0,1,0,15,28.5052,76.9729
bptp terra,flat,sector 37d,1.6,7302.0,4,3,3+,6.0,relatively new,2000.0,0,0,0,0,1,2,110,28.4478,76.9703
krrish provence estate,flat,gwal pahari,5.5,9482.0,4,5,3+,6.0,new property,5249.0,1,1,0,1,0,0,127,28.4484,77.021
independent,house,sector 38,4.0,21786.0,6,6,3+,4.0,old property,1836.04,1,1,0,1,1,2,106,28.4347,77.043
puri diplomatic greens,flat,sector 111,2.65,11963.0,3,4,3+,4.0,relatively new,2005.0,1,1,1,1,0,0,43,28.5238,77.032
eros rosewood villas,house,sector 49,2.5,13513.0,3,3,2,2.0,moderately new,1900.0,0,1,1,0,0,0,50,28.4121,77.048
pioneer araya,flat,sector 62,9.14,19488.0,4,6,3,4.0,relatively new,3932.0,1,0,1,1,0,2,120,28.4139,77.0886
m3m woodshire,flat,sector 107,1.4,5929.0,3,4,No,10.0,new property,2137.0,0,0,0,0,0,0,52,28.5052,76.9729
sidhartha ncr greens,flat,sector 95,0.96,6201.0,3,3,3,8.0,new property,1720.0,0,1,1,0,0,0,8,28.4172,76.9081
signature andour heights,flat,sector 71,0.6,10000.0,2,2,1,6.0,relatively new,557.0,0,1,0,0,0,0,42,28.4104,77.0281
independent,house,sector 4,0.65,11111.0,4,2,2,2.0,moderately new,585.0,0,0,0,0,0,0,0,28.4738,77.0107
tulip purple,flat,sector 69,1.92,8000.0,4,5,3+,6.0,relatively new,2172.0,1,0,0,0,0,2,120,28.3966,77.0341
tulip violet,flat,sector 69,2.0,9583.0,4,4,2,6.0,relatively new,1889.0,0,0,0,0,0,0,119,28.3966,77.0341
tata primanti,flat,sector 72,5.0,11363.0,4,4,3+,2.0,new property,4000.0,1,0,1,1,0,2,136,28.4225,77.0211
imperia the esfera,flat,sector 37c,0.86,5449.0,2,3,3,10.0,relatively new,1442.0,0,0,0,1,1,0,35,28.4515,76.9882
puri diplomatic greens,flat,sector 111,3.5,11864.0,4,5,3+,8.0,relatively new,2700.0,1,0,0,0,0,2,35,28.5238,77.032
jmd gardens,flat,sector 33,3.25,7510.0,4,4,3+,4.0,old property,4809.0,1,0,0,0,0,2,97,28.442,77.0207
hsiidc sidco aravali,flat,manesar,0.9,3648.0,4,4,3,8.0,moderately new,2233.0,0,0,0,0,0,0,0,28.3515,76.9428
supertech basera,flat,sector 79,0.36,7643.0,2,2,1,4.0,new property,546.0,0,0,0,0,0,0,44,28.3624,76.9787
godrej summit,flat,sector 104,1.25,6778.0,3,4,3+,12.0,relatively new,1669.0,1,0,0,0,1,0,57,28.4788,76.996
smart world gems,flat,sector 89,0.85,7706.0,2,2,2,2.0,relatively new,1226.0,0,0,0,1,0,0,45,28.4253,76.9439
maruti vihar colony,flat,sector 28,0.95,8886.0,2,1,1,2.0,old property,1188.0,0,0,0,0,0,0,45,28.4728,77.0865
signature global solera,flat,sector 107,0.36,6569.0,2,2,1,8.0,relatively new,496.0,0,0,0,0,0,0,28,28.5052,76.9729
bestech park view grand spa,flat,sector 81,2.35,8834.0,3,4,3+,4.0,relatively new,2513.0,1,0,0,0,0,2,72,28.3867,76.9485
independent,house,sector 81,0.89,8127.0,1,1,0,1.0,relatively new,1095.0,0,0,0,0,0,0,0,28.3867,76.9485
bestech park view grand spa,flat,sector 81,3.0,9419.0,4,5,2,10.0,relatively new,2882.0,1,0,0,0,0,2,81,28.3867,76.9485
independent,house,sector 12,0.9,13333.0,2,4,0,2.0,relatively new,675.0,0,0,0,0,0,0,0,28.4723,77.032
mapsko mount ville,flat,sector 79,1.25,8389.0,3,3,3,6.0,relatively new,1058.0,0,0,0,1,0,2,73,28.3624,76.9787
suncity avenue 76,flat,sector 76,0.75,10204.0,2,2,2,4.0,under construction,665.0,0,0,0,0,0,0,50,28.3935,76.9888
umang winter hills,flat,sector 77,0.86,6408.0,2,2,2,2.0,new property,1214.0,0,0,0,0,0,2,50,28.3801,76.9845
corona gracieux,flat,sector 76,1.46,5500.0,4,6,3+,4.0,new property,2398.0,1,0,0,0,0,0,45,28.3935,76.9888
511 sarahah tower,flat,sector 12,0.6,8333.0,2,2,1,4.0,new property,800.0,0,1,0,0,0,1,0,28.4723,77.032
godrej aria,flat,sector 79,0.95,6551.0,2,2,3,6.0,relatively new,1611.0,0,0,0,0,0,2,136,28.3624,76.9787
dlf new town heights,flat,sector 91,1.75,7402.0,4,4,3+,10.0,relatively new,2139.0,1,1,0,0,0,0,66,28.4014,76.9225
signature global solera,flat,sector 107,0.36,5980.0,2,2,1,6.0,relatively new,598.0,0,0,0,0,1,0,35,28.5052,76.9729
sushant lok 1 builder floors,house,sector 43,6.25,30728.0,7,7,3+,3.0,moderately new,2034.0,1,0,1,1,0,0,37,28.4629,77.0772
independent,house,sector 37d,1.16,7539.0,1,1,0,1.0,relatively new,1535.0,0,0,0,0,0,0,0,28.4478,76.9703
bestech altura,flat,sector 79,2.55,9532.0,4,5,2,4.0,new property,2675.0,1,0,0,0,0,0,35,28.3624,76.9787
project krishna colony,flat,sector 7,0.36,5142.0,2,2,1,6.0,relatively new,700.0,0,0,0,0,0,0,0,28.4644,77.0143
tulip violet,flat,sector 69,1.4,8861.0,3,3,2,2.0,relatively new,1428.0,0,1,0,0,0,0,80,28.3966,77.0341
independent,house,sector 4,0.92,15257.0,1,4,3,4.0,moderately new,603.0,0,0,0,0,1,0,0,28.4738,77.0107
independent,house,sector 23,5.5,13095.0,9,9,3+,3.0,moderately new,4200.0,1,0,0,0,1,2,0,28.5121,77.0478
ansal heights,flat,sector 92,0.72,4500.0,3,3,3,6.0,relatively new,1700.0,1,0,0,0,0,0,35,28.4079,76.9153
independent,house,sector 3,3.5,9210.0,1,1,0,1.0,relatively new,3800.0,0,0,0,0,0,0,0,28.4909,77.0176
pareena laxmi apartments,flat,sector 99a,0.32,5786.0,2,2,2,10.0,new property,502.0,0,0,0,0,0,0,52,28.4561,76.9542
signature global the millennia 3,flat,sector 37d,0.45,7627.0,2,3,2,6.0,relatively new,656.0,0,0,0,0,0,0,8,28.4478,76.9703
ambience creacions,flat,sector 22,2.4,17391.0,2,2,2,4.0,relatively new,1200.0,0,0,0,0,1,1,90,28.5072,77.064
independent,house,sector 43,9.85,29638.0,5,5,2,3.0,old property,3762.0,1,1,0,1,0,0,21,28.4629,77.0772
smart world gems,flat,sector 89,1.16,8151.0,3,3,2,4.0,relatively new,1581.0,0,0,0,1,0,0,51,28.4253,76.9439
umang monsoon breeze,flat,sector 78,0.62,5004.0,2,2,1,8.0,moderately new,1115.0,0,0,1,0,0,0,82,28.3733,76.9729
ats kocoon,flat,sector 109,2.22,10596.0,3,3,3,8.0,relatively new,1896.0,1,0,0,0,1,0,50,28.5073,77.0089
dlf the skycourt,flat,sector 86,1.6,8294.0,3,3,1,10.0,relatively new,1746.0,0,1,0,0,0,0,50,28.3986,76.9384
experion the heartsong,flat,sector 108,1.02,7950.0,2,3,3,6.0,relatively new,1283.0,0,0,0,1,0,0,83,28.5134,76.983
puri emerald bay,flat,sector 104,1.59,10903.0,2,2,2,12.0,relatively new,1403.0,0,0,0,0,0,0,92,28.4788,76.996
pareena coban residences,flat,sector 99a,1.05,6774.0,2,2,3,2.0,relatively new,1390.0,0,0,0,1,0,0,35,28.4561,76.9542
bestech spa signature,flat,sector 81,4.4,12571.0,4,4,3+,10.0,new property,3700.0,1,1,0,1,1,1,35,28.3867,76.9485
independent,house,sector 25,13.5,37313.0,5,6,3+,4.0,old property,3618.0,0,0,0,0,1,2,70,28.4844,77.086
independent,house,sector 27,8.0,26298.0,9,9,3,4.0,relatively new,3042.0,1,1,1,1,0,1,81,28.4658,77.0917
suposhaa smartworld orchard,flat,sector 61,2.25,14525.0,3,3,2,8.0,relatively new,1721.0,0,0,0,0,0,0,0,28.405,77.0963
ireo the corridors,flat,sector 67a,1.4,9433.0,2,2,2,6.0,relatively new,1149.0,0,0,0,1,1,0,73,28.396,77.0372
adani brahma samsara vilasa,flat,sector 63,3.35,16470.0,3,3,3+,6.0,new property,2034.0,0,0,0,0,0,2,8,28.3971,77.0867
orris carnation residency,flat,sector 85,0.72,4881.0,3,3,2,6.0,moderately new,1350.0,0,0,0,0,1,0,35,28.4042,76.9513
breez global heights,flat,sector 36,0.24,5825.0,1,1,1,4.0,new property,458.0,0,0,0,0,0,0,44,28.416,76.9914
independent,house,sector 55,2.8,18667.0,4,4,0,2.0,relatively new,1499.97,0,0,0,0,0,0,0,28.4281,77.11
shapoorji pallonji joyville gurugram,flat,sector 102,1.35,9933.0,2,2,2,8.0,relatively new,1230.0,0,0,0,0,0,0,71,28.475,76.9715
bestech altura,flat,sector 79,1.85,8604.0,3,3,3,10.0,new property,1650.0,1,0,0,0,0,0,45,28.3624,76.9787
shreeram apartment ii,flat,sector 4,0.21,4666.0,1,1,1,2.0,relatively new,500.0,0,0,0,0,0,0,7,28.4738,77.0107
ireo victory valley,house,sector 67,8.0,22222.0,6,7,3+,3.0,moderately new,3600.0,1,1,1,1,0,2,113,28.3859,77.0608
dlf the ultima,flat,sector 81,2.34,11185.0,3,4,3+,8.0,relatively new,1760.0,1,0,0,0,0,1,136,28.3867,76.9485
bajrang apartments,flat,sector 6,0.38,4470.0,2,2,2,10.0,moderately new,944.0,0,0,0,0,0,0,0,28.4745,77.0262
smart world orchard,flat,sector 61,1.6,13913.0,2,2,2,2.0,relatively new,1278.0,0,0,0,1,0,0,28,28.405,77.0963
the penthouses at the hibiscus,flat,sector 50,8.0,8888.0,4,3,3,6.0,moderately new,10000.0,1,0,0,0,0,0,22,28.4178,77.0628
signature global solera,flat,sector 107,0.4,6644.0,2,2,1,6.0,relatively new,577.0,0,0,0,0,0,2,43,28.5052,76.9729
valley view estate,flat,gwal pahari,1.5,8278.0,4,4,3+,12.0,old property,2013.0,1,0,0,1,1,0,106,28.4484,77.021
independent,house,sector 28,1.39,11583.0,2,2,1,3.0,old property,1450.0,0,0,1,0,0,0,23,28.4728,77.0865
independent,house,sector 3,0.9,10000.0,3,4,3,3.0,moderately new,3500.0,0,0,0,0,1,2,30,28.4909,77.0176
adani brahma samsara vilasa,flat,sector 63,3.0,16666.0,3,3,3,6.0,new property,2000.0,0,0,0,0,0,0,16,28.3971,77.0867
apna enclave,flat,sector 3,0.5,7692.0,2,2,1,4.0,old property,722.0,0,0,0,0,0,2,28,28.4909,77.0176
vatika xpressions,flat,sector 88b,0.92,7360.0,2,2,2,8.0,relatively new,1300.0,0,1,0,0,0,0,136,28.4446,76.9542
sobha city,flat,sector 108,2.1,13975.0,2,2,2,8.0,relatively new,1250.0,0,0,0,0,0,0,57,28.5134,76.983
emaar mgf marbella,house,sector 66,12.0,37037.0,5,5,3+,3.0,new property,3240.0,1,1,1,0,0,2,68,28.3925,77.0541
central park flower valley cerise floors,house,sector 33,1.35,11157.0,2,2,2,4.0,new property,1210.0,0,0,0,1,0,1,85,28.442,77.0207
independent,house,sector 47,0.99,17187.0,1,4,3,4.0,relatively new,576.0,0,0,0,0,0,0,13,28.4276,77.0492
ansals palam vihar,house,sector 2,2.68,17213.0,4,3,2,3.0,moderately new,1556.96,0,0,1,0,0,2,52,28.5095,77.032
emaar gurgaon greens,flat,sector 102,1.4,8484.0,3,3,3,6.0,relatively new,1413.0,1,0,0,0,0,0,35,28.475,76.9715
signature global city 92,house,sector 92,0.75,7820.0,2,2,3,1.0,relatively new,959.0,0,0,0,0,0,0,46,28.4079,76.9153
independent,house,sector 24,3.25,30384.0,4,4,3,3.0,old property,1069.64,0,0,0,0,0,0,15,28.4939,77.1038
independent,house,sector 26,8.1,35294.0,5,5,2,4.0,old property,2295.0,0,0,0,0,0,0,28,28.4757,77.1032
m3m capital,flat,sector 113,2.57,15575.0,4,5,3+,2.0,relatively new,2060.0,0,0,0,1,0,2,50,28.5287,77.0233
dlf park place,flat,sector 54,4.86,25920.0,3,4,3+,8.0,relatively new,1875.0,1,0,0,0,0,2,35,28.4348,77.1089
signature global city 92,flat,sector 92,0.78,8047.0,2,2,2,2.0,new property,1083.0,0,0,0,0,0,2,39,28.4079,76.9153
ild greens,flat,sector 37c,0.78,5714.0,2,2,3,10.0,moderately new,1068.1,0,0,0,0,0,2,81,28.4515,76.9882
tulip violet,flat,sector 69,1.68,8348.0,4,4,2,8.0,relatively new,1819.0,0,1,0,0,0,0,80,28.3966,77.0341
ramsons kshitij,flat,sector 95,0.29,5178.0,2,2,2,10.0,relatively new,507.0,0,0,0,0,0,0,37,28.4172,76.9081
godrej oasis,flat,sector 88a,1.5,8108.0,3,3,3+,6.0,new property,1674.0,0,0,0,0,0,0,24,28.4347,76.9557
vatika gurgaon,flat,sector 83,0.84,6746.0,2,2,2,8.0,moderately new,1127.0,0,0,0,0,0,2,128,28.3986,76.9647
mapsko royale ville,flat,sector 82,1.15,6424.0,3,4,2,10.0,relatively new,1620.0,1,1,0,0,0,2,75,28.3935,76.96
la vida by tata housing,flat,sector 113,2.78,11346.0,3,3,3,4.0,new property,2599.0,1,0,0,1,0,0,136,28.5287,77.0233
independent,house,sector 17a,1.52,19869.0,2,2,1,1.0,old property,105.0,0,0,0,0,0,0,22,28.4785,77.06
vatika city,flat,sector 49,1.72,7818.0,3,3,2,2.0,old property,2444.0,0,0,0,0,0,2,106,28.4121,77.048
dlf the ultima,flat,sector 81,2.35,11233.0,3,4,3+,8.0,relatively new,1558.0,1,0,0,0,0,0,91,28.3867,76.9485
ss the leaf,flat,sector 85,2.2,11178.0,4,5,3+,12.0,relatively new,2390.0,1,1,0,0,0,0,136,28.4042,76.9513
spire woods now ananda by alpha corp,flat,sector 103,1.25,6902.0,3,4,3,12.0,under construction,2012.0,1,0,0,1,0,0,67,28.4949,76.9845
sbtl caladium,flat,sector 109,1.7,6679.0,3,3,3+,6.0,relatively new,2303.0,1,0,0,0,0,0,121,28.5073,77.0089
pareena mi casa,flat,sector 68,1.7,8504.0,4,4,3,2.0,new property,1809.0,0,0,0,0,0,0,38,28.3853,77.0484
tarc maceo,flat,sector 91,1.9,6975.0,4,4,3,6.0,relatively new,2465.0,1,0,0,0,0,0,98,28.4014,76.9225
shree vardhman victoria,flat,sector 70,1.75,8974.0,3,5,No,8.0,relatively new,1950.0,0,0,0,0,0,0,47,28.3968,77.0233
raheja vedaanta,flat,sector 108,0.8,4080.0,3,3,3,10.0,relatively new,1663.0,0,1,0,0,0,0,136,28.5134,76.983
vatika sovereign park,flat,sector 99,3.25,9672.0,4,4,3+,2.0,new property,3041.0,1,0,0,0,0,0,106,28.464,76.9614
independent,house,sector 4,0.55,6813.0,2,1,1,1.0,moderately new,75.0,0,0,0,0,0,0,0,28.4738,77.0107
vatika city homes,flat,sector 83,0.75,5660.0,2,2,2,8.0,relatively new,1199.0,0,0,0,0,0,2,36,28.3986,76.9647
m3m woodshire,flat,sector 107,0.98,6421.0,2,2,3,10.0,relatively new,1281.0,0,0,0,1,0,2,136,28.5052,76.9729
green homes,flat,sector 52,1.85,7872.0,3,3,3,10.0,moderately new,2127.0,1,0,0,0,0,0,28,28.4379,77.0785
smart world orchard,flat,sector 61,2.1,13750.0,3,2,3,10.0,relatively new,1534.0,0,0,0,0,0,0,113,28.405,77.0963
m3m woodshire,flat,sector 107,0.8,5856.0,2,2,3+,10.0,relatively new,1236.0,0,0,0,0,0,2,127,28.5052,76.9729
independent,house,sector 8,0.59,10085.0,2,2,2,2.0,moderately new,585.0,0,0,0,0,1,0,7,28.3738,76.897
chd avenue,flat,sector 71,1.0,6734.0,3,3,3+,6.0,relatively new,1344.0,0,0,0,0,0,2,7,28.4104,77.0281
bestech park view city,flat,sector 48,2.65,10323.0,4,4,3+,2.0,moderately new,2134.0,1,0,0,1,0,2,136,28.4177,77.0359
pyramid urban homes 2,flat,sector 86,0.44,7321.0,2,2,2,6.0,relatively new,668.0,0,0,0,0,0,2,49,28.3986,76.9384
independent,house,sector 25,4.35,32222.0,5,4,3,3.0,old property,1350.01,1,0,0,0,0,0,35,28.4844,77.086
independent,house,sector 45,16.0,35000.0,6,7,3+,3.0,relatively new,4500.0,1,1,1,1,0,2,82,28.4466,77.066
independent,house,sector 53,4.0,17778.0,5,5,2,3.0,relatively new,2250.0,0,0,0,1,0,0,14,28.4433,77.0948
bestech park view sanskruti,flat,sector 92,2.0,8333.0,4,5,3+,12.0,relatively new,2453.0,1,0,0,0,0,2,45,28.4079,76.9153
sidhartha ncr one phase,flat,sector 95,0.9,4500.0,3,3,1,8.0,relatively new,2000.0,0,0,0,0,0,0,45,28.4172,76.9081
