Unnamed: 0,society,property_type,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,pooja room,store room,study room,others,Washing Machine,Sofa,Wardrobe,Microwave,Chimney,Geyser,AC,Dining Table,Fan,Exhaust Fan,Curtains,Modular Kitchen,Bed,Fridge,Light,TV,Stove,Water Purifier,Cluster_Labels,luxury_score,area_room_ratio
879,sagar apartment,flat,sector 56,1.45,7250.0,2000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3+,,South,old property,2000.0,1900.0,1800.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,666.6666666666666
880,ats triumph,flat,sector 104,2.6,8813.0,2950.187223419948,Super Built up area 3150(292.64 sq.m.)Carpet area: 2950 sq.ft. (274.06 sq.m.),4,4,3+,,East,relatively new,3150.0,,2950.0,1,0,0,0,0,0,0,0,0,0,0,6,0,6,1,0,1,0,0,16,0,0,0,1,121,737.546805854987
881,emaar gurgaon greens,flat,sector 102,1.55,9393.0,1650.16501650165,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,4,3,,North,relatively new,1650.0,,1022.58,1,0,0,0,0,0,0,0,0,1,0,5,0,5,1,0,1,0,0,10,0,0,0,1,123,550.05500550055
882,paras irene,flat,sector 70a,1.2,8450.0,1420.1183431952663,Super Built up area 1420(131.92 sq.m.),2,2,3,,North-East,moderately new,1420.0,,,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,28,710.0591715976332
883,shree vardhman victoria,flat,sector 70,1.55,7948.0,1950.176144942124,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,3,3,,South-East,relatively new,1950.0,,1161.0,1,1,0,1,1,0,0,0,1,1,3,1,0,1,0,0,0,0,0,1,0,0,0,0,35,650.058714980708
884,shree vardhman victoria,flat,sector 70,1.65,8461.0,1950.124098806288,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,4,3,,South-East,relatively new,1950.0,,1161.0,1,0,0,0,1,0,0,1,0,1,3,3,0,4,0,0,1,0,0,7,0,0,0,1,35,650.0413662687627
885,ss the leaf,flat,sector 85,1.05,6402.0,1640.112464854733,Super Built up area 1640(152.36 sq.m.),2,2,3,,North-East,relatively new,1640.0,,,0,0,0,0,1,0,0,2,0,1,3,4,0,3,0,0,0,0,0,3,0,0,0,0,35,820.0562324273665
886,dlf regal gardens,flat,sector 90,1.29,9020.0,1430.1552106430156,Super Built up area 1702(158.12 sq.m.)Built Up area: 1540 sq.ft. (143.07 sq.m.)Carpet area: 1430 sq.ft. (132.85 sq.m.),3,3,3,,East,relatively new,1702.0,1540.0,1430.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,476.71840354767187
887,pyramid urban,flat,sector 67a,0.56,7928.0,706.3572149344099,Carpet area: 700 (65.03 sq.m.),2,2,2,,North-East,relatively new,,,700.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,353.1786074672049
888,dlf regal gardens,flat,sector 90,1.26,7636.0,1650.0785751702465,Super Built up area 1744(162.02 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.),3,3,2,12.0,North,relatively new,1744.0,1650.0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,550.0261917234155
889,ss the leaf,flat,sector 85,1.91,5026.0,3800.238758456029,Super Built up area 3950(366.97 sq.m.)Built Up area: 3890 sq.ft. (361.39 sq.m.)Carpet area: 3800 sq.ft. (353.03 sq.m.),4,6,3,,North,relatively new,3950.0,3890.0,3800.0,1,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,136,950.0596896140072
890,ss the leaf,flat,sector 85,2.2,5641.0,3900.0177273533054,Super Built up area 3950(366.97 sq.m.)Built Up area: 3920 sq.ft. (364.18 sq.m.)Carpet area: 3900 sq.ft. (362.32 sq.m.),4,6,3,,North-West,relatively new,3950.0,3920.0,3900.0,1,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,6,0,0,0,0,136,975.0044318383264
891,ss the leaf,flat,sector 85,1.98,8256.0,2398.2558139534885,Super Built up area 2408(223.71 sq.m.)Built Up area: 2399 sq.ft. (222.87 sq.m.)Carpet area: 2398 sq.ft. (222.78 sq.m.),3,4,3,12.0,West,relatively new,2408.0,2399.0,2398.0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,136,799.4186046511628
892,ss the leaf,flat,sector 85,1.11,6851.0,1620.20143044811,Super Built up area 1640(152.36 sq.m.)Built Up area: 1630 sq.ft. (151.43 sq.m.)Carpet area: 1620 sq.ft. (150.5 sq.m.),2,2,3,,North,relatively new,1640.0,1630.0,1620.0,0,0,1,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,6,0,0,0,0,136,810.100715224055
893,dlf the ultima,flat,sector 81,2.25,10755.0,2092.050209205021,Super Built up area 2092(194.35 sq.m.)Built Up area: 2090 sq.ft. (194.17 sq.m.)Carpet area: 2087 sq.ft. (193.89 sq.m.),3,4,3+,,West,relatively new,2092.0,2090.0,2087.0,1,0,0,0,0,1,0,3,1,1,2,3,0,3,1,0,1,0,1,4,0,0,0,2,136,697.350069735007
894,ss the coralwood,flat,sector 84,1.05,6774.0,1550.044286979628,Super Built up area 1750(162.58 sq.m.)Built Up area: 1610 sq.ft. (149.57 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3,,North-East,relatively new,1750.0,1610.0,1550.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,516.6814289932094
895,dlf the primus,flat,sector 82a,2.6,11438.0,2273.12467214548,Super Built up area 2273(211.17 sq.m.)Carpet area: 1340 sq.ft. (124.49 sq.m.),4,4,3+,2.0,East,relatively new,2273.0,,1340.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,568.28116803637
896,ss the leaf,flat,sector 85,1.04,8320.0,1250.0,Super Built up area 1640(152.36 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),2,2,3,,East,new property,1640.0,1550.0,1250.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,625.0
897,dlf regal gardens,flat,sector 90,1.25,7167.0,1744.1049253523092,Super Built up area 1744(162.02 sq.m.),3,3,2,,East,relatively new,1744.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,581.3683084507697
898,experion windchants,flat,sector 112,3.4,12134.0,2802.0438437448493,Super Built up area 2802(260.31 sq.m.)Built Up area: 2225.56 sq.ft. (206.76 sq.m.),3,3,2,,North-East,relatively new,2802.0,2225.56,,0,0,0,0,0,0,0,0,0,0,1,5,0,7,1,0,0,0,0,7,0,0,0,1,121,934.0146145816165
899,dlf regal gardens,flat,sector 90,1.25,7339.0,1703.2293227960213,Super Built up area 1703(158.21 sq.m.),3,3,3,,North,moderately new,1703.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,567.7431075986738
900,pyramid urban homes 2,flat,sector 86,0.41,8283.0,494.9897380176264,Carpet area: 501 (46.54 sq.m.),2,2,1,,West,new property,,,501.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,247.4948690088132
901,vatika gurgaon,flat,sector 83,0.75,6024.0,1245.019920318725,Super Built up area 1245(115.66 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 1020 sq.ft. (94.76 sq.m.),2,2,2,,East,relatively new,1245.0,1150.0,1020.0,0,0,0,0,1,0,0,3,0,0,0,2,0,3,1,3,1,0,0,6,0,0,0,1,74,622.5099601593625
902,dlf regal gardens,flat,sector 90,1.7,7223.0,2353.592690017998,Super Built up area 2215(205.78 sq.m.),4,4,3+,,North-West,moderately new,2215.0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,588.3981725044995
903,tarc maceo,flat,sector 91,0.87,6641.0,1310.043668122271,Super Built up area 1310(121.7 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,,North-West,relatively new,1310.0,,1000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,655.0218340611355
904,dlf regal gardens,flat,sector 90,1.25,10416.0,1200.076804915515,Super Built up area 1702(158.12 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,3,,North,moderately new,1702.0,,1200.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,400.02560163850495
